Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent summary,Status Category
Project Shore Stories,PELECF-2978,503763,,Epic,Backlog,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do
ECF Scanner Extended to Send Run Summary Message for Non-Zonal Stores,PELECF-2977,503736,,Story,Backlog,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do
ECF Scanner Extended to Send Run Summary Message for Zonal Stores,PELECF-2976,503734,,Story,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e99,,,20/Nov/20 11:55 AM;557058:09cf04a4-0278-4b1d-8e0d-79b1d4ce16b9;[~accountid:557058:8ec6fd0e-6ea4-4b8b-bb91-5ec1726a4ece] - do we need Mobico for any of this ? ,"20/Nov/20 1:24 PM;557058:8ec6fd0e-6ea4-4b8b-bb91-5ec1726a4ece;[~accountid:557058:09cf04a4-0278-4b1d-8e0d-79b1d4ce16b9] No we don’t Gill.. For the Phase 1 summary message we compile the message from ECF Scanner when the gun signals to ECF scanner that the run is PICKED- so no change to gun needed.
 
(For Phase 2- the expanded messages- we *will* need Mobico as the gun needs to raise the new extra signals  back to ECF scanner for us to publish to Azure )","30/Nov/20 11:36 AM;557058:9090f81d-ce11-49d3-a207-44468dbcb709;Post 3 amigos with [~accountid:557058:8ec6fd0e-6ea4-4b8b-bb91-5ec1726a4ece] , [~accountid:557058:9f521e75-762b-496a-8f34-1538875aabc7] and [~accountid:5b762cbf6f0516050b78c435] ",,,,,,,,,,,,,,,,,,,,,,,,Done
Set Up Events Pipeline for Pick run Summary Messaging,PELECF-2975,503732,,Story,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e100,,,19/Nov/20 3:27 PM;557058:8ec6fd0e-6ea4-4b8b-bb91-5ec1726a4ece;Duplicate of https://woolworthslimited.atlassian.net/browse/PELECF-2936,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Complete Pick Run Summary Message Design,PELECF-2974,503729,,Story,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e101,,,"19/Nov/20 2:20 PM;557058:8ec6fd0e-6ea4-4b8b-bb91-5ec1726a4ece;*Story completed:*

* Confluence updated with the JSO format-
[https://woolworthslimited.atlassian.net/wiki/spaces/PELECF/pages/1298333714/Picking+Events+Data+feed+to+Analytics+Team|https://woolworthslimited.atlassian.net/wiki/spaces/PELECF/pages/1298333714/Picking+Events+Data+feed+to+Analytics+Team|smart-link] 
* Format sent to Analytics team who have uploaded and agreed format","19/Nov/20 2:21 PM;557058:8ec6fd0e-6ea4-4b8b-bb91-5ec1726a4ece;Story completed.
See completion comments",,,,,,,,,,,,,,,,,,,,,,,,,Done
OSR Test: Decant without PO,PELECF-2973,503703,,Task,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e102,,,"10/Dec/20 10:41 AM;5d112929296d800c1590ebe8;A number of inventory management operations have been carried out and audited by the Store Central Team. This includes decanting without a purchase order in order to add new stock (for test purposes). The stock level updates were sent to Store Central.

Inventory Management results may be seen at [https://docs.google.com/document/d/1nnShL605AOCtNwTN1SJAlbymWA9wmA5GPVPeD6mC4bw/edit|https://docs.google.com/document/d/1nnShL605AOCtNwTN1SJAlbymWA9wmA5GPVPeD6mC4bw/edit|smart-link] and [https://docs.google.com/document/d/1xpWIunQve-U0oBgpO7E8XB_fGKFGKgCx6RrvmawR1RE/edit|https://docs.google.com/document/d/1xpWIunQve-U0oBgpO7E8XB_fGKFGKgCx6RrvmawR1RE/edit|smart-link] for perusal.",,,,,,,,,,,,,,,,,,,,,,,,,,Done
Pick Rate Data for Analytics: Phase 1,PELECF-2972,503701,,Epic,Backlog,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do
OSR Test: Decant/ load items to OSR (with PO),PELECF-2971,503694,,Task,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e104,,,"10/Dec/20 10:39 AM;5d112929296d800c1590ebe8;A number of inventory management operations have been carried out and audited by the Store Central Team. This includes pushing a real purchase order from SAP/ Informatica to Takeoff, where the purchase order was seen and used to decant the associated articles. The stock level updates were sent to Store Central.

Inventory Management results may be seen at [https://docs.google.com/document/d/1nnShL605AOCtNwTN1SJAlbymWA9wmA5GPVPeD6mC4bw/edit|https://docs.google.com/document/d/1nnShL605AOCtNwTN1SJAlbymWA9wmA5GPVPeD6mC4bw/edit|smart-link] and [https://docs.google.com/document/d/1xpWIunQve-U0oBgpO7E8XB_fGKFGKgCx6RrvmawR1RE/edit|https://docs.google.com/document/d/1xpWIunQve-U0oBgpO7E8XB_fGKFGKgCx6RrvmawR1RE/edit|smart-link] for perusal.",,,,,,,,,,,,,,,,,,,,,,,,,,Done
TA- Review and break down manual regression tests into different layers of the test pyramid.,PELECF-2970,503542,,Task,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e105,,,30/Nov/20 3:16 PM;5aa6ef84f75bb52a82327a00;The first cut of test scenarios to automate - [https://docs.google.com/spreadsheets/d/1BHPtmunOlGb8eq0HqkjuJnWuDcaLPbUlvq6SJHuA7ZQ/edit?usp=sharing|https://docs.google.com/spreadsheets/d/1BHPtmunOlGb8eq0HqkjuJnWuDcaLPbUlvq6SJHuA7ZQ/edit?usp=sharing|smart-link] ,,,,,,,,,,,,,,,,,,,,,,,,,,Done
TA - SPIKE: analyse impact/risk of different store level feature settings (including non-locker related) on the Locker solution.,PELECF-2965,503535,,Task,Backlog,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e106,,,05/Mar/21 2:22 PM;5e7abaace6f50f0c3a10e722;[~accountid:5aa6ef84f75bb52a82327a00] Is this ticket still relevant?,,,,,,,,,,,,,,,,,,,,,,,,,,To Do
